label,text
__label__lab_guide_question,"how can i dc power supply?"
__label__lab_guide_question,"what is the mercury vapor pressure?"
__label__virtual_lab_manipulation,"power off the mercury vapor pressure?"
__label__virtual_lab_manipulation,"turn on the current through the collection electrode?"
__label__virtual_lab_manipulation,"turn on the first excitation energy?"
__label__lab_guide_question,"why is it necessary to keithley electrometer?"
__label__lab_guide_question,"how can i electron emission?"
__label__lab_guide_question,"explain the purpose of retarding voltage?"
__label__lab_guide_question,"is it true that retarding voltage?"
__label__lab_guide_question,"what is the anode voltage?"
__label__virtual_lab_manipulation,"adjust the cathode temperature?"
__label__lab_guide_question,"what happens when keithley electrometer?"
__label__lab_guide_question,"is it true that current through the collection electrode?"
__label__lab_guide_question,"how does the mercury vapor pressure?"
__label__lab_guide_question,"why is it necessary to dc power supply?"
__label__lab_guide_question,"why does the first excitation energy?"
__label__virtual_lab_manipulation,"record the first excitation energy?"
__label__lab_guide_question,"what is the dc power supply?"
__label__lab_guide_question,"is it true that cathode temperature?"
__label__lab_guide_question,"what is the current through the collection electrode?"
__label__virtual_lab_manipulation,"switch to keithley electrometer?"
__label__lab_guide_question,"how can i cathode temperature?"
__label__lab_guide_question,"what is the retarding voltage?"
__label__lab_guide_question,"what happens when cathode temperature?"
__label__lab_guide_question,"explain the purpose of electron emission?"
__label__lab_guide_question,"why is it necessary to retarding voltage?"
__label__virtual_lab_manipulation,"set the anode voltage?"
__label__lab_guide_question,"how does the retarding voltage?"
__label__virtual_lab_manipulation,"set the anode voltage?"
__label__lab_guide_question,"why does the cathode temperature?"
__label__lab_guide_question,"can you describe current through the collection electrode?"
__label__virtual_lab_manipulation,"set the thermionic emission?"
__label__lab_guide_question,"how does the mercury vapor pressure?"
__label__lab_guide_question,"is it true that dc power supply?"
__label__virtual_lab_manipulation,"switch to electron emission?"
__label__virtual_lab_manipulation,"observe the current through the collection electrode?"
__label__lab_guide_question,"how does the mercury vapor pressure?"
__label__lab_guide_question,"is it true that cathode temperature?"
__label__lab_guide_question,"why does the electron emission?"
__label__virtual_lab_manipulation,"check the thermionic emission?"
__label__virtual_lab_manipulation,"set the cathode temperature?"
__label__lab_guide_question,"what is the cathode temperature?"
__label__virtual_lab_manipulation,"turn on the cathode temperature?"
__label__virtual_lab_manipulation,"adjust the mercury vapor pressure?"
__label__virtual_lab_manipulation,"check the thermionic emission?"
__label__virtual_lab_manipulation,"record the current through the collection electrode?"
__label__lab_guide_question,"what's the significance of cathode temperature?"
__label__lab_guide_question,"how can i current through the collection electrode?"
__label__virtual_lab_manipulation,"set the cathode temperature?"
__label__lab_guide_question,"why is it necessary to keithley electrometer?"
__label__lab_guide_question,"explain the purpose of keithley electrometer?"
__label__virtual_lab_manipulation,"observe the electron emission?"
__label__lab_guide_question,"how does the dc power supply?"
__label__lab_guide_question,"explain the purpose of cathode temperature?"
__label__lab_guide_question,"why does the keithley electrometer?"
__label__virtual_lab_manipulation,"observe the electron emission?"
__label__lab_guide_question,"can you describe electron emission?"
__label__virtual_lab_manipulation,"turn on the thermionic emission?"
__label__virtual_lab_manipulation,"record the current through the collection electrode?"
__label__lab_guide_question,"how can i anode voltage?"
__label__virtual_lab_manipulation,"turn on the keithley electrometer?"
__label__lab_guide_question,"how does the mercury vapor pressure?"
__label__virtual_lab_manipulation,"measure the thermionic emission?"
__label__virtual_lab_manipulation,"increase the anode voltage?"
__label__lab_guide_question,"what's the significance of current through the collection electrode?"
__label__virtual_lab_manipulation,"record the dc power supply?"
__label__lab_guide_question,"explain the purpose of retarding voltage?"
__label__lab_guide_question,"what happens when first excitation energy?"
__label__virtual_lab_manipulation,"turn on the retarding voltage?"
__label__virtual_lab_manipulation,"increase the retarding voltage?"
__label__virtual_lab_manipulation,"adjust the dc power supply?"
__label__virtual_lab_manipulation,"measure the keithley electrometer?"
__label__lab_guide_question,"what is the anode voltage?"
__label__virtual_lab_manipulation,"record the keithley electrometer?"
__label__virtual_lab_manipulation,"adjust the anode voltage?"
__label__lab_guide_question,"why does the first excitation energy?"
__label__virtual_lab_manipulation,"set the keithley electrometer?"
__label__lab_guide_question,"how can i keithley electrometer?"
__label__lab_guide_question,"what happens when retarding voltage?"
__label__virtual_lab_manipulation,"turn on the retarding voltage?"
__label__lab_guide_question,"what happens when thermionic emission?"
__label__lab_guide_question,"how can i first excitation energy?"
__label__lab_guide_question,"can you describe anode voltage?"
__label__lab_guide_question,"explain the purpose of current through the collection electrode?"
__label__virtual_lab_manipulation,"power off the cathode temperature?"
__label__lab_guide_question,"how does the cathode temperature?"
__label__lab_guide_question,"how does the retarding voltage?"
__label__virtual_lab_manipulation,"check the electron emission?"
__label__virtual_lab_manipulation,"adjust the electron emission?"
__label__virtual_lab_manipulation,"power off the cathode temperature?"
__label__lab_guide_question,"why is it necessary to first excitation energy?"
__label__virtual_lab_manipulation,"switch to retarding voltage?"
__label__virtual_lab_manipulation,"set the current through the collection electrode?"
__label__virtual_lab_manipulation,"measure the cathode temperature?"
__label__virtual_lab_manipulation,"switch to cathode temperature?"
__label__lab_guide_question,"why is it necessary to cathode temperature?"
__label__virtual_lab_manipulation,"record the current through the collection electrode?"
__label__lab_guide_question,"how does the mercury vapor pressure?"
__label__virtual_lab_manipulation,"measure the cathode temperature?"
__label__virtual_lab_manipulation,"check the electron emission?"
__label__virtual_lab_manipulation,"observe the current through the collection electrode?"
__label__virtual_lab_manipulation,"record the electron emission?"
__label__virtual_lab_manipulation,"increase the current through the collection electrode?"
__label__virtual_lab_manipulation,"check the cathode temperature?"
__label__lab_guide_question,"explain the purpose of thermionic emission?"
__label__lab_guide_question,"explain the purpose of thermionic emission?"
__label__virtual_lab_manipulation,"observe the mercury vapor pressure?"
__label__lab_guide_question,"what is the dc power supply?"
__label__virtual_lab_manipulation,"switch to dc power supply?"
__label__virtual_lab_manipulation,"increase the anode voltage?"
__label__virtual_lab_manipulation,"switch to electron emission?"
__label__lab_guide_question,"what's the significance of first excitation energy?"
__label__lab_guide_question,"why is it necessary to dc power supply?"
__label__virtual_lab_manipulation,"adjust the retarding voltage?"
__label__virtual_lab_manipulation,"adjust the mercury vapor pressure?"
__label__lab_guide_question,"is it true that anode voltage?"
__label__lab_guide_question,"what happens when keithley electrometer?"
__label__virtual_lab_manipulation,"check the anode voltage?"
__label__lab_guide_question,"can you describe dc power supply?"
__label__lab_guide_question,"what happens when retarding voltage?"
__label__virtual_lab_manipulation,"measure the thermionic emission?"
__label__virtual_lab_manipulation,"observe the dc power supply?"
__label__virtual_lab_manipulation,"set the anode voltage?"
__label__lab_guide_question,"how does the dc power supply?"
__label__virtual_lab_manipulation,"increase the cathode temperature?"
__label__virtual_lab_manipulation,"observe the anode voltage?"
__label__lab_guide_question,"why is it necessary to electron emission?"
__label__lab_guide_question,"what is the dc power supply?"
__label__lab_guide_question,"is it true that current through the collection electrode?"
__label__lab_guide_question,"why is it necessary to first excitation energy?"
__label__virtual_lab_manipulation,"adjust the current through the collection electrode?"
__label__virtual_lab_manipulation,"increase the first excitation energy?"
__label__lab_guide_question,"why does the electron emission?"
__label__lab_guide_question,"how does the cathode temperature?"
__label__lab_guide_question,"what happens when keithley electrometer?"
__label__lab_guide_question,"what is the cathode temperature?"
__label__lab_guide_question,"how can i mercury vapor pressure?"
__label__lab_guide_question,"explain the purpose of anode voltage?"
__label__lab_guide_question,"how can i first excitation energy?"
__label__virtual_lab_manipulation,"adjust the retarding voltage?"
__label__virtual_lab_manipulation,"increase the mercury vapor pressure?"
__label__virtual_lab_manipulation,"observe the keithley electrometer?"
__label__lab_guide_question,"how can i mercury vapor pressure?"
__label__lab_guide_question,"can you describe mercury vapor pressure?"
__label__virtual_lab_manipulation,"check the electron emission?"
__label__lab_guide_question,"how does the anode voltage?"
__label__lab_guide_question,"what's the significance of thermionic emission?"
__label__virtual_lab_manipulation,"check the keithley electrometer?"
__label__virtual_lab_manipulation,"set the thermionic emission?"
__label__virtual_lab_manipulation,"observe the dc power supply?"
__label__lab_guide_question,"what happens when current through the collection electrode?"
__label__lab_guide_question,"why does the electron emission?"
__label__lab_guide_question,"is it true that thermionic emission?"
__label__lab_guide_question,"why is it necessary to current through the collection electrode?"
__label__lab_guide_question,"how does the mercury vapor pressure?"
__label__virtual_lab_manipulation,"measure the thermionic emission?"
__label__virtual_lab_manipulation,"switch to current through the collection electrode?"
__label__lab_guide_question,"explain the purpose of electron emission?"
__label__virtual_lab_manipulation,"record the thermionic emission?"
__label__virtual_lab_manipulation,"power off the mercury vapor pressure?"
__label__lab_guide_question,"what is the cathode temperature?"
__label__virtual_lab_manipulation,"observe the first excitation energy?"
__label__virtual_lab_manipulation,"observe the first excitation energy?"
__label__virtual_lab_manipulation,"turn on the electron emission?"
__label__lab_guide_question,"why is it necessary to thermionic emission?"
__label__lab_guide_question,"what is the current through the collection electrode?"
__label__virtual_lab_manipulation,"adjust the anode voltage?"
__label__lab_guide_question,"what's the significance of dc power supply?"
__label__lab_guide_question,"what is the mercury vapor pressure?"
__label__lab_guide_question,"what happens when cathode temperature?"
__label__virtual_lab_manipulation,"switch to anode voltage?"
__label__virtual_lab_manipulation,"turn on the anode voltage?"
__label__virtual_lab_manipulation,"power off the keithley electrometer?"
__label__virtual_lab_manipulation,"measure the cathode temperature?"
__label__lab_guide_question,"what's the significance of dc power supply?"
__label__virtual_lab_manipulation,"power off the thermionic emission?"
__label__lab_guide_question,"how can i retarding voltage?"
__label__virtual_lab_manipulation,"measure the electron emission?"
__label__lab_guide_question,"why is it necessary to current through the collection electrode?"
__label__lab_guide_question,"why is it necessary to cathode temperature?"
__label__virtual_lab_manipulation,"adjust the retarding voltage?"
__label__virtual_lab_manipulation,"turn on the electron emission?"
__label__virtual_lab_manipulation,"adjust the mercury vapor pressure?"
__label__virtual_lab_manipulation,"increase the anode voltage?"
__label__virtual_lab_manipulation,"record the dc power supply?"
__label__lab_guide_question,"what is the retarding voltage?"
__label__virtual_lab_manipulation,"check the mercury vapor pressure?"
__label__virtual_lab_manipulation,"record the mercury vapor pressure?"
__label__lab_guide_question,"can you describe first excitation energy?"
__label__virtual_lab_manipulation,"measure the current through the collection electrode?"
__label__lab_guide_question,"why is it necessary to keithley electrometer?"
__label__lab_guide_question,"can you describe mercury vapor pressure?"
__label__lab_guide_question,"is it true that keithley electrometer?"
__label__virtual_lab_manipulation,"increase the thermionic emission?"
__label__lab_guide_question,"explain the purpose of cathode temperature?"
__label__virtual_lab_manipulation,"measure the first excitation energy?"
__label__lab_guide_question,"explain the purpose of retarding voltage?"
__label__lab_guide_question,"why is it necessary to first excitation energy?"
__label__virtual_lab_manipulation,"observe the keithley electrometer?"
__label__virtual_lab_manipulation,"adjust the dc power supply?"
__label__virtual_lab_manipulation,"measure the cathode temperature?"
__label__lab_guide_question,"can you describe retarding voltage?"
__label__lab_guide_question,"how can i current through the collection electrode?"
__label__lab_guide_question,"why is it necessary to anode voltage?"
__label__virtual_lab_manipulation,"turn on the cathode temperature?"
__label__lab_guide_question,"how does the cathode temperature?"
__label__lab_guide_question,"what is the dc power supply?"
__label__virtual_lab_manipulation,"observe the retarding voltage?"
__label__virtual_lab_manipulation,"switch to keithley electrometer?"
__label__virtual_lab_manipulation,"measure the retarding voltage?"
__label__virtual_lab_manipulation,"turn on the retarding voltage?"
__label__virtual_lab_manipulation,"power off the electron emission?"
__label__virtual_lab_manipulation,"increase the electron emission?"
__label__lab_guide_question,"is it true that current through the collection electrode?"
__label__lab_guide_question,"what's the significance of keithley electrometer?"
__label__virtual_lab_manipulation,"adjust the electron emission?"
__label__lab_guide_question,"what's the significance of thermionic emission?"
__label__virtual_lab_manipulation,"adjust the cathode temperature?"
__label__lab_guide_question,"why is it necessary to mercury vapor pressure?"
__label__virtual_lab_manipulation,"power off the cathode temperature?"
__label__lab_guide_question,"how can i first excitation energy?"
__label__virtual_lab_manipulation,"record the dc power supply?"
__label__lab_guide_question,"why is it necessary to electron emission?"
__label__lab_guide_question,"how can i thermionic emission?"
__label__lab_guide_question,"what happens when thermionic emission?"
__label__lab_guide_question,"explain the purpose of first excitation energy?"
__label__lab_guide_question,"what happens when retarding voltage?"
__label__virtual_lab_manipulation,"adjust the thermionic emission?"
__label__virtual_lab_manipulation,"observe the retarding voltage?"
__label__virtual_lab_manipulation,"switch to keithley electrometer?"
__label__lab_guide_question,"is it true that electron emission?"
__label__virtual_lab_manipulation,"set the retarding voltage?"
__label__lab_guide_question,"what is the dc power supply?"
__label__lab_guide_question,"how can i mercury vapor pressure?"
__label__virtual_lab_manipulation,"record the thermionic emission?"
__label__virtual_lab_manipulation,"set the electron emission?"
__label__virtual_lab_manipulation,"measure the cathode temperature?"
__label__lab_guide_question,"what happens when retarding voltage?"
__label__lab_guide_question,"how can i keithley electrometer?"
__label__virtual_lab_manipulation,"observe the current through the collection electrode?"
__label__virtual_lab_manipulation,"increase the first excitation energy?"
__label__virtual_lab_manipulation,"observe the retarding voltage?"
__label__virtual_lab_manipulation,"check the keithley electrometer?"
__label__lab_guide_question,"what's the significance of electron emission?"
__label__lab_guide_question,"can you describe first excitation energy?"
__label__virtual_lab_manipulation,"switch to anode voltage?"
__label__lab_guide_question,"why is it necessary to cathode temperature?"
__label__lab_guide_question,"what happens when electron emission?"
__label__lab_guide_question,"why is it necessary to cathode temperature?"
__label__lab_guide_question,"what is the anode voltage?"
__label__virtual_lab_manipulation,"switch to dc power supply?"
__label__virtual_lab_manipulation,"check the keithley electrometer?"
__label__lab_guide_question,"how does the thermionic emission?"
__label__virtual_lab_manipulation,"record the first excitation energy?"
__label__lab_guide_question,"what is the anode voltage?"
__label__lab_guide_question,"what is the electron emission?"
__label__lab_guide_question,"how does the mercury vapor pressure?"
__label__lab_guide_question,"why is it necessary to retarding voltage?"
__label__virtual_lab_manipulation,"check the dc power supply?"
__label__virtual_lab_manipulation,"record the retarding voltage?"
__label__lab_guide_question,"what happens when retarding voltage?"
__label__lab_guide_question,"what happens when current through the collection electrode?"
__label__virtual_lab_manipulation,"power off the anode voltage?"
__label__virtual_lab_manipulation,"increase the thermionic emission?"
__label__virtual_lab_manipulation,"record the first excitation energy?"
__label__lab_guide_question,"explain the purpose of electron emission?"
__label__lab_guide_question,"why is it necessary to current through the collection electrode?"
__label__lab_guide_question,"how does the thermionic emission?"
__label__virtual_lab_manipulation,"check the retarding voltage?"
__label__lab_guide_question,"why is it necessary to electron emission?"
__label__virtual_lab_manipulation,"adjust the anode voltage?"
__label__lab_guide_question,"is it true that cathode temperature?"
__label__virtual_lab_manipulation,"power off the keithley electrometer?"
__label__virtual_lab_manipulation,"set the retarding voltage?"
__label__virtual_lab_manipulation,"turn on the mercury vapor pressure?"
__label__virtual_lab_manipulation,"adjust the dc power supply?"
__label__lab_guide_question,"what's the significance of cathode temperature?"
__label__virtual_lab_manipulation,"set the cathode temperature?"
__label__virtual_lab_manipulation,"check the mercury vapor pressure?"
__label__lab_guide_question,"what happens when retarding voltage?"
__label__virtual_lab_manipulation,"check the thermionic emission?"
__label__virtual_lab_manipulation,"turn on the first excitation energy?"
__label__virtual_lab_manipulation,"increase the thermionic emission?"
__label__lab_guide_question,"can you describe electron emission?"
__label__virtual_lab_manipulation,"check the first excitation energy?"
__label__lab_guide_question,"why does the retarding voltage?"
__label__virtual_lab_manipulation,"record the thermionic emission?"
__label__virtual_lab_manipulation,"increase the first excitation energy?"
__label__virtual_lab_manipulation,"adjust the electron emission?"
__label__virtual_lab_manipulation,"observe the anode voltage?"
__label__lab_guide_question,"what is the keithley electrometer?"
__label__virtual_lab_manipulation,"set the current through the collection electrode?"
__label__virtual_lab_manipulation,"turn on the thermionic emission?"
__label__lab_guide_question,"is it true that anode voltage?"
__label__lab_guide_question,"how does the anode voltage?"
__label__virtual_lab_manipulation,"set the dc power supply?"
__label__lab_guide_question,"how does the electron emission?"
__label__virtual_lab_manipulation,"measure the anode voltage?"
__label__lab_guide_question,"what happens when retarding voltage?"
__label__virtual_lab_manipulation,"switch to thermionic emission?"
__label__lab_guide_question,"how can i electron emission?"
__label__virtual_lab_manipulation,"record the electron emission?"
__label__lab_guide_question,"explain the purpose of cathode temperature?"
__label__virtual_lab_manipulation,"record the thermionic emission?"
__label__virtual_lab_manipulation,"switch to cathode temperature?"
__label__lab_guide_question,"what's the significance of first excitation energy?"
__label__lab_guide_question,"why is it necessary to electron emission?"
__label__virtual_lab_manipulation,"observe the first excitation energy?"
__label__virtual_lab_manipulation,"measure the mercury vapor pressure?"
__label__virtual_lab_manipulation,"record the cathode temperature?"
__label__lab_guide_question,"what is the thermionic emission?"
__label__virtual_lab_manipulation,"increase the current through the collection electrode?"
__label__virtual_lab_manipulation,"record the dc power supply?"
__label__virtual_lab_manipulation,"observe the keithley electrometer?"
__label__lab_guide_question,"what is the dc power supply?"
__label__lab_guide_question,"why does the electron emission?"
__label__lab_guide_question,"what is the mercury vapor pressure?"
__label__virtual_lab_manipulation,"power off the anode voltage?"
__label__lab_guide_question,"explain the purpose of keithley electrometer?"
__label__virtual_lab_manipulation,"switch to anode voltage?"
__label__virtual_lab_manipulation,"set the electron emission?"
__label__lab_guide_question,"can you describe electron emission?"
__label__virtual_lab_manipulation,"observe the dc power supply?"
__label__lab_guide_question,"how can i anode voltage?"
__label__lab_guide_question,"explain the purpose of electron emission?"
__label__lab_guide_question,"what happens when electron emission?"
__label__lab_guide_question,"how can i electron emission?"
__label__lab_guide_question,"explain the purpose of anode voltage?"
__label__lab_guide_question,"how does the retarding voltage?"
__label__lab_guide_question,"how does the cathode temperature?"
__label__lab_guide_question,"explain the purpose of keithley electrometer?"
__label__lab_guide_question,"what's the significance of dc power supply?"
__label__lab_guide_question,"what's the significance of thermionic emission?"
__label__lab_guide_question,"can you describe keithley electrometer?"
__label__virtual_lab_manipulation,"set the cathode temperature?"
__label__virtual_lab_manipulation,"adjust the mercury vapor pressure?"
__label__lab_guide_question,"how does the cathode temperature?"
__label__lab_guide_question,"what's the significance of thermionic emission?"
__label__lab_guide_question,"is it true that dc power supply?"
__label__lab_guide_question,"can you describe mercury vapor pressure?"
__label__virtual_lab_manipulation,"check the keithley electrometer?"
__label__lab_guide_question,"how does the electron emission?"
__label__virtual_lab_manipulation,"Adjust the filament variac knob."
__label__virtual_lab_manipulation,"Turn off the filament."
__label__virtual_lab_manipulation,"Adjust the filament variac knob."
__label__lab_guide_question,"What does the retarding voltage do?"
__label__lab_guide_question,"Can you explain the purpose of the Franck-Hertz experiment?"
__label__virtual_lab_manipulation,"Switch to the DATA camera view."
__label__lab_guide_question,"How is the accelerating voltage controlled?"
__label__virtual_lab_manipulation,"Turn on the DC power supply."
__label__virtual_lab_manipulation,"Power up the oven variac."
__label__virtual_lab_manipulation,"Reduce the filament current."
__label__lab_guide_question,"Can you elaborate on the role of the filament cathode?"
__label__virtual_lab_manipulation,"Find the VVR measurement."
__label__virtual_lab_manipulation,"Adjust the filament variac knob."
__label__lab_guide_question,"What are inelastic collisions in the context of this experiment?"
__label__lab_guide_question,"Why do we need to heat the mercury in the vacuum tube?"
__label__lab_guide_question,"How does the oven variac control the temperature?"
__label__virtual_lab_manipulation,"Change the electrometer range to 20 pA."
__label__lab_guide_question,"What are the safety precautions for handling mercury?"
__label__virtual_lab_manipulation,"Turn on the DC power supply."
__label__virtual_lab_manipulation,"Reset the electrometer zero check."
__label__lab_guide_question,"Why do we need to heat the mercury in the vacuum tube?"
__label__lab_guide_question,"Why do mercury atoms show inelastic collisions?"
__label__virtual_lab_manipulation,"Monitor the oven temperature."
__label__lab_guide_question,"What are the units of the Keithley electrometer readings?"
__label__virtual_lab_manipulation,"Turn off the filament."
__label__virtual_lab_manipulation,"Switch to the DATA camera view."
__label__lab_guide_question,"What is the atomic weight of mercury?"
__label__lab_guide_question,"Why do mercury atoms show inelastic collisions?"
__label__lab_guide_question,"What is the atomic weight of mercury?"
__label__lab_guide_question,"Why do mercury atoms show inelastic collisions?"
__label__lab_guide_question,"What are inelastic collisions in the context of this experiment?"
__label__lab_guide_question,"How is the accelerating voltage controlled?"
__label__virtual_lab_manipulation,"Set the oven to 300 degrees."
__label__virtual_lab_manipulation,"Perform the zero correction on the electrometer."
__label__virtual_lab_manipulation,"Power up the oven variac."
__label__virtual_lab_manipulation,"Switch to the DATA camera view."
__label__virtual_lab_manipulation,"Increase the retarding voltage to 1.5 V."
__label__virtual_lab_manipulation,"Turn on the DC power supply."
__label__lab_guide_question,"What is the significance of quantized energy levels?"
__label__lab_guide_question,"Why is a vacuum tube used in this setup?"
__label__lab_guide_question,"What are the units of the Keithley electrometer readings?"
__label__lab_guide_question,"What temperature should the reaction vessel be?"
__label__virtual_lab_manipulation,"Adjust the variac for a stable temperature."
__label__virtual_lab_manipulation,"Activate the heat camera feed."
__label__virtual_lab_manipulation,"Perform the zero correction on the electrometer."
__label__virtual_lab_manipulation,"Increase the reaction chamber's pressure."
__label__lab_guide_question,"What are inelastic collisions in the context of this experiment?"
__label__lab_guide_question,"What is the atomic weight of mercury?"
__label__virtual_lab_manipulation,"Reduce the filament current."
__label__virtual_lab_manipulation,"Switch to the DATA camera view."
__label__virtual_lab_manipulation,"Switch to the tube camera."
__label__virtual_lab_manipulation,"Increase the reaction chamber's pressure."
__label__lab_guide_question,"What does the electrometer measure?"
__label__lab_guide_question,"What is the significance of quantized energy levels?"
__label__virtual_lab_manipulation,"Perform the zero correction on the electrometer."
__label__virtual_lab_manipulation,"Check the temperature of the furnace."
__label__lab_guide_question,"Why is mercury used in the Franck-Hertz experiment?"
__label__virtual_lab_manipulation,"Reduce the filament current."
__label__lab_guide_question,"What are the safety precautions for handling mercury?"
__label__lab_guide_question,"What does the retarding voltage do?"
__label__virtual_lab_manipulation,"Adjust the filament variac knob."
__label__lab_guide_question,"Why is mercury used in the Franck-Hertz experiment?"
__label__virtual_lab_manipulation,"Turn off the filament."
__label__lab_guide_question,"What are the safety precautions for handling mercury?"
__label__lab_guide_question,"Why do we observe discrete drops in current during the experiment?"
__label__virtual_lab_manipulation,"Switch to the tube camera."
__label__virtual_lab_manipulation,"Find the VVR measurement."
__label__virtual_lab_manipulation,"Adjust the filament variac knob."
__label__virtual_lab_manipulation,"Switch to the tube camera."
__label__lab_guide_question,"Why is mercury used in the Franck-Hertz experiment?"
__label__lab_guide_question,"What are the units of the Keithley electrometer readings?"
__label__virtual_lab_manipulation,"Reset the electrometer zero check."
__label__lab_guide_question,"Explain the concept of thermionic emission."
__label__virtual_lab_manipulation,"Power up the oven variac."
__label__lab_guide_question,"How do you measure the first excitation energy of mercury?"
__label__virtual_lab_manipulation,"Adjust the filament variac knob."
__label__virtual_lab_manipulation,"Turn off the filament."
__label__lab_guide_question,"What are the safety precautions for handling mercury?"
__label__lab_guide_question,"Can you elaborate on the role of the filament cathode?"
__label__virtual_lab_manipulation,"Set the oven to 300 degrees."
__label__virtual_lab_manipulation,"Start recording the electrometer current."
__label__lab_guide_question,"How does the oven variac control the temperature?"
__label__virtual_lab_manipulation,"Check the temperature of the furnace."
__label__virtual_lab_manipulation,"Turn on the DC power supply."
__label__virtual_lab_manipulation,"Reset the electrometer zero check."
__label__virtual_lab_manipulation,"Increase the reaction chamber's pressure."
__label__virtual_lab_manipulation,"Switch to the DATA camera view."
__label__lab_guide_question,"What are the safety precautions for handling mercury?"
__label__lab_guide_question,"How does the oven variac control the temperature?"
__label__virtual_lab_manipulation,"Change the electrometer range to 20 pA."
__label__virtual_lab_manipulation,"Perform the zero correction on the electrometer."
__label__lab_guide_question,"Can you elaborate on the role of the filament cathode?"
__label__lab_guide_question,"Can you elaborate on the role of the filament cathode?"
__label__virtual_lab_manipulation,"Power up the oven variac."
__label__lab_guide_question,"Why do mercury atoms show inelastic collisions?"
__label__virtual_lab_manipulation,"Activate the heat camera feed."
__label__virtual_lab_manipulation,"Turn off the filament."
__label__virtual_lab_manipulation,"Turn on the DC power supply."
__label__virtual_lab_manipulation,"Change the electrometer range to 20 pA."
__label__virtual_lab_manipulation,"Check the temperature of the furnace."
__label__lab_guide_question,"What does the retarding voltage do?"
__label__lab_guide_question,"What does the retarding voltage do?"
__label__lab_guide_question,"Why is mercury used in the Franck-Hertz experiment?"
__label__virtual_lab_manipulation,"Adjust the filament variac knob."
__label__virtual_lab_manipulation,"Check the temperature of the furnace."
__label__virtual_lab_manipulation,"Activate the heat camera feed."
__label__virtual_lab_manipulation,"Monitor the oven temperature."
__label__lab_guide_question,"How does the DC power supply affect the experiment?"
__label__lab_guide_question,"How does the DC power supply affect the experiment?"
__label__lab_guide_question,"Why is a vacuum tube used in this setup?"
__label__lab_guide_question,"What does the retarding voltage do?"
__label__virtual_lab_manipulation,"Power up the oven variac."
__label__virtual_lab_manipulation,"Switch to the DATA camera view."
__label__lab_guide_question,"Why do mercury atoms show inelastic collisions?"
__label__virtual_lab_manipulation,"Activate the heat camera feed."
__label__virtual_lab_manipulation,"Increase the reaction chamber's pressure."
__label__virtual_lab_manipulation,"Rotate the Va potentiometer clockwise."
__label__lab_guide_question,"Why is mercury used in the Franck-Hertz experiment?"
__label__lab_guide_question,"What are the safety precautions for handling mercury?"
__label__lab_guide_question,"Explain the concept of thermionic emission."
__label__lab_guide_question,"What are the safety precautions for handling mercury?"
__label__lab_guide_question,"How is the accelerating voltage controlled?"
__label__virtual_lab_manipulation,"Rotate the Va potentiometer clockwise."
__label__lab_guide_question,"How is the accelerating voltage controlled?"
__label__virtual_lab_manipulation,"Check the temperature of the furnace."
__label__lab_guide_question,"Why do we observe discrete drops in current during the experiment?"
__label__lab_guide_question,"How does the DC power supply affect the experiment?"
__label__virtual_lab_manipulation,"Find the VVR measurement."
__label__lab_guide_question,"What are the units of the Keithley electrometer readings?"
__label__lab_guide_question,"What is the significance of quantized energy levels?"
__label__lab_guide_question,"How does the oven variac control the temperature?"
__label__virtual_lab_manipulation,"Increase the retarding voltage to 1.5 V."
__label__lab_guide_question,"How does the oven variac control the temperature?"
__label__virtual_lab_manipulation,"Switch to the DATA camera view."
__label__lab_guide_question,"What temperature should the reaction vessel be?"
__label__virtual_lab_manipulation,"Switch to the tube camera."
__label__lab_guide_question,"Why is a vacuum tube used in this setup?"
__label__lab_guide_question,"What are the units of the Keithley electrometer readings?"
__label__virtual_lab_manipulation,"Check the temperature of the furnace."
__label__virtual_lab_manipulation,"Change the electrometer range to 20 pA."
__label__lab_guide_question,"How does the oven variac control the temperature?"
__label__virtual_lab_manipulation,"Monitor the oven temperature."
__label__virtual_lab_manipulation,"Turn off the filament."
__label__virtual_lab_manipulation,"Activate the heat camera feed."
__label__virtual_lab_manipulation,"Start recording the electrometer current."
__label__lab_guide_question,"What are the safety precautions for handling mercury?"
__label__lab_guide_question,"What does the electrometer measure?"
__label__lab_guide_question,"Why do we observe discrete drops in current during the experiment?"
__label__virtual_lab_manipulation,"Reduce the filament current."
__label__virtual_lab_manipulation,"Switch to the tube camera."
__label__lab_guide_question,"Can you explain the purpose of the Franck-Hertz experiment?"
__label__lab_guide_question,"What is the significance of quantized energy levels?"
__label__lab_guide_question,"What is the significance of quantized energy levels?"
__label__virtual_lab_manipulation,"Reset the electrometer zero check."
__label__lab_guide_question,"Why do mercury atoms show inelastic collisions?"
__label__lab_guide_question,"What does the retarding voltage do?"
__label__virtual_lab_manipulation,"Reduce the filament current."
__label__lab_guide_question,"What does the retarding voltage do?"
__label__virtual_lab_manipulation,"Turn on the DC power supply."
__label__virtual_lab_manipulation,"Reduce the filament current."
__label__lab_guide_question,"Can you explain the purpose of the Franck-Hertz experiment?"
__label__lab_guide_question,"What are the units of the Keithley electrometer readings?"
__label__lab_guide_question,"Can you elaborate on the role of the filament cathode?"
__label__virtual_lab_manipulation,"Reduce the filament current."
__label__virtual_lab_manipulation,"Start recording the electrometer current."
__label__virtual_lab_manipulation,"Turn on the DC power supply."
